company_name,primary_role,permalink,domain,homepage_url,country_code,state_code,region,city,zipcode,address,status,short_description,category_list,category_group_list,funding_rounds,funding_total_usd,founded_on,first_funding_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,cb_url,logo_url,profile_image_url,twitter_url,alias,uuid,created_at,updated_at
Anchor FM,company,/organization/anchor-fm,anchor.fm,https://anchor.fm/,USA,NY,New York City,New York,,W25th Street,operating,Anchor is a free iPhone app that makes it easy to broadcast short audio clips to a global audience in seconds.,apps|audio|broadcasting|internet,apps|internet services|media and entertainment|music and audio|software|video,3,4400000,2015-01-01,2015-08-12,2017-03-07,,1-10,support@anchor.fm,,https://www.facebook.com/anchorwaves/,https://www.linkedin.com/company/anchor-fm,https://www.crunchbase.com/organization/anchor-fm,https://www.crunchbase.com/organization/anchor-fm/primary-image/raw,http://public.crunchbase.com/t_api_images/v1452153893/ezvwgh2boup3xsaa1drc.png,https://www.twitter.com/anchor,,43663f91-dd86-a8c5-78f0-6ee4fb2e6baa,2016-01-07 08:04:59.059419,2017-03-07 11:42:48.855365
Blowhorn,company,/organization/blowhorn,blowhorn.net,http://www.blowhorn.net/,IND,,Bangalore,Bangalore,,"",operating,Blowhorn operates in the intra-city logistics space. We are an on-demand logistics provider for moving your goods.,travel,travel and tourism,2,3750000,2013-01-01,2014-11-13,2017-03-07,,11-50,shoutout@blowhorn.net,+91 80 3232 2010,http://www.facebook.com/blowhornlog,http://www.linkedin.com/company/blowhorn,https://www.crunchbase.com/organization/blowhorn,https://www.crunchbase.com/organization/blowhorn/primary-image/raw,http://public.crunchbase.com/t_api_images/v1405934865/ldw9wrrgpb9z5agj4whp.jpg,https://www.twitter.com/blowhornlog,,002eee0c-f022-b74a-e2e7-7eb2f407c3e7,2014-07-21 09:28:15,2017-03-07 12:43:26.850502
CIM Enviro,company,/organization/cim-enviro,cimenviro.com,http://cimenviro.com/,AUS,,Sydney,Sydney,NSW 2000,"Level 32, 200 George Street",operating,It uses the Internet of Things (IoT) to help customers reduce energy usage.,computer,consumer electronics|hardware,1,3000000,2009-01-01,2017-03-07,2017-03-07,,11-50,info@cimenviro.com,+610289714066,,https://www.linkedin.com/company/cim-environmental-group,https://www.crunchbase.com/organization/cim-enviro,https://www.crunchbase.com/organization/cim-enviro/primary-image/raw,http://public.crunchbase.com/t_api_images/v1488861912/vordaczj9ez2qz2voifc.png,https://www.twitter.com/cimenviro?,,082c4013-2360-b9d1-2405-7c115bc57e9d,2017-03-07 04:46:24.634913,2017-03-12 01:06:31.355125
Confluent,company,/organization/confluent,confluent.io,https://confluent.io/,USA,CA,SF Bay Area,Palo Alto,94301,"101 University Avenue, Suite 111",operating,Confluent offers a real-time data platform built around Apache Kafka.,big data|enterprise software|open source|software,data and analytics|software,3,80900000,2014-09-23,2014-11-06,2017-03-07,,101-250,contact@confluent.io,,https://www.facebook.com/confluentinc,https://www.linkedin.com/company/confluent,https://www.crunchbase.com/organization/confluent,https://www.crunchbase.com/organization/confluent/primary-image/raw,http://public.crunchbase.com/t_api_images/v1440054356/mwwyodfprkwacgwdmrxd.jpg,https://www.twitter.com/confluentinc,,1c900e54-f53f-0aa7-eea0-584a3ec27c3a,2014-11-06 21:13:15,2017-03-08 09:10:05.533291
Farmers Business Network,company,/organization/farmers-business-network,farmersbusinessnetwork.com,http://farmersbusinessnetwork.com,USA,CA,SF Bay Area,San Carlos,94070,"1123 Industrial, Suite 200",operating,"Farmers Business Network connects farmers to share knowledge and gain trusted insights about their farms, inputs, and practices.",agriculture|analytics|big data|farming|social network,agriculture and farming|data and analytics|internet services,5,83900000,2014-01-01,2014-04-10,2017-03-07,,11-50,,+1 (844) 200-3276,https://www.facebook.com/pages/fbn/391276821026384,https://www.linkedin.com/company/farmers-business-network,https://www.crunchbase.com/organization/farmers-business-network,https://www.crunchbase.com/organization/farmers-business-network/primary-image/raw,http://public.crunchbase.com/t_api_images/v1431707117/ihn1yb0kf8j9johtdr7m.png,https://www.twitter.com/fbnfarmers,,29d9af64-a4d9-b783-546a-34a6eedf0982,2014-04-11 10:13:15,2017-03-09 14:10:37.241458
Function of Beauty,company,/organization/function-of-beauty,functionofbeauty.com,https://functionofbeauty.com/,USA,CT,Hartford,Stamford,06907,"22 Knapp St, Ste 303",operating,Function of Beauty offers personalized hair care products tailored to its customers' specific hair profile and goals.,beauty,consumer goods,2,9620000,2015-01-01,2015-11-01,2017-03-07,,-,hello@functionofbeauty.com,+1 (203) 274-5335,https://www.facebook.com/functionofbeauty,,https://www.crunchbase.com/organization/function-of-beauty,https://www.crunchbase.com/organization/function-of-beauty/primary-image/raw,http://public.crunchbase.com/t_api_images/v1488910606/mkbyxk6ykkdn1jjajq8y.png,https://www.twitter.com/fxofbeauty,,cddab474-3565-1ca1-ce17-3f0e99b034e6,2015-12-10 20:36:55.705624,2017-03-07 18:17:55.578687
Hubble Contacts,company,/organization/hubble-contacts,hubblecontacts.com,http://hubblecontacts.com,USA,NY,New York City,New York,,1325 Avenue of the Americas,operating,Hubble is a contact lenses maker and retailer.,consumer goods|e-commerce|eyewear,commerce and shopping|consumer goods,3,23700000,2016-05-01,2016-05-01,2017-03-07,,11-50,,,https://www.facebook.com/hubblecontacts/,https://www.linkedin.com/company/hubble-contacts,https://www.crunchbase.com/organization/hubble-contacts,https://www.crunchbase.com/organization/hubble-contacts/primary-image/raw,http://public.crunchbase.com/t_api_images/v1475258455/wfxktwaptaljwlilvtcs.png,https://www.twitter.com/hubblecontacts,,afd272f0-9eb1-e2ab-b045-a08dd46257c8,2016-09-30 18:02:52.475105,2017-03-07 16:06:24.656194
iflix,company,/organization/iflix,iflix.com,http://www.iflix.com/,MYS,,Kuala Lumpur,Kuala Lumpur,59200,27-7 The Boulevard Mid Valley City,operating,iflix is an on-demand online video platform that caters to consumers in South East Asia.,digital entertainment|internet|video streaming,content and publishing|internet services|media and entertainment|video,3,165000000,2014-01-01,2015-04-23,2017-03-07,,101-250,letsplay@iflix.com,60 3 2997 0999,https://www.facebook.com/iflixmy,https://www.linkedin.com/company/iflix,https://www.crunchbase.com/organization/iflix,https://www.crunchbase.com/organization/iflix/primary-image/raw,http://public.crunchbase.com/t_api_images/v1479481414/wgod7uyyl15rggk4hb6j.png,https://www.twitter.com/iflixmy,,5fd41d69-dc5a-4216-4465-b9de468c6bdd,2015-03-10 10:11:41,2017-03-07 18:09:29.274285
Instacart,company,/organization/instacart,instacart.com,https://www.instacart.com,USA,CA,SF Bay Area,San Francisco,94105,"Instacart, 50 Beale Street, Suite 600",operating,Instacart is a same-day grocery delivery company delivering groceries and home essentials from a variety of local stores.,delivery|e-commerce|grocery|same day delivery,administrative services|commerce and shopping|food and beverage|transportation,7,674800000,2012-07-01,2012-06-01,2017-03-07,,101-250,happycustomers@instacart.com,910-817-2278,http://www.facebook.com/instacart,http://www.linkedin.com/company/instacart,https://www.crunchbase.com/organization/instacart,https://www.crunchbase.com/organization/instacart/primary-image/raw,http://public.crunchbase.com/t_api_images/v1452745153/ivcmokkvexb6l133xqws.png,https://www.twitter.com/instacart,"[""Maplebear""]",4e542cda-f3b9-bc92-b2f2-16dcae17032b,2012-08-01 18:33:02,2017-03-12 01:32:35.300313
LawGeex,company,/organization/lawgeex,lawgeex.com,https://www.lawgeex.com/,ISR,,Tel Aviv,Tel Aviv,,"",operating,LawGeex is an Israel-based contract review platform that helps businesses by using AI.,analytics|artificial intelligence|big data|legal|machine learning|saas,data and analytics|professional services|science and engineering|software,3,9500000,2014-01-01,2015-10-01,2017-03-07,,11-50,hello@lawgeex.com,,http://www.facebook.com/lawgeex,https://www.linkedin.com/company/lawgeex,https://www.crunchbase.com/organization/lawgeex,https://www.crunchbase.com/organization/lawgeex/primary-image/raw,http://public.crunchbase.com/t_api_images/v1461127666/xtwaquiqy95m1c5rphxj.png,https://www.twitter.com/lawgeex_,,dd976cea-9703-5550-6801-d4845deff703,2015-02-24 02:50:03,2017-03-08 04:31:40.018013
