Anchor FM,apps|audio|broadcasting|internet,4400000,operating,USA,NY,New York,3,2016-01-07 08:04:59.059419,2015-08-12,2017-03-07
Blowhorn,travel,3750000,operating,IND,,Bangalore,2,2014-07-21 09:28:15,2014-11-13,2017-03-07
CIM Enviro,It uses the Internet of Things (IoT) to help customers reduce energy usage.,1," 200 George Street""",AUS,,Sydney,consumer electronics|hardware,2017-03-07 04:46:24.634913,2009-01-01,2017-03-07
Confluent,Confluent offers a real-time data platform built around Apache Kafka.,3," Suite 111""",USA,CA,Palo Alto,data and analytics|software,2014-11-06 21:13:15,2014-09-23,2014-11-06
Farmers Business Network,"""Farmers Business Network connects farmers to share knowledge and gain trusted insights about their farms",agriculture|analytics|big data|farming|social network," Suite 200""",USA,CA,San Carlos," and practices.""",2014-04-11 10:13:15,5,83900000
Function of Beauty,Function of Beauty offers personalized hair care products tailored to its customers' specific hair profile and goals.,2," Ste 303""",USA,CT,Stamford,consumer goods,2015-12-10 20:36:55.705624,2015-01-01,2015-11-01
Hubble Contacts,consumer goods|e-commerce|eyewear,23700000,operating,USA,NY,New York,3,2016-09-30 18:02:52.475105,2016-05-01,2017-03-07
iflix,digital entertainment|internet|video streaming,165000000,operating,MYS,,Kuala Lumpur,3,2015-03-10 10:11:41,2015-04-23,2017-03-07
Instacart,operating,administrative services|commerce and shopping|food and beverage|transportation, 50 Beale Street,USA,CA,San Francisco,delivery|e-commerce|grocery|same day delivery,2012-08-01 18:33:02,674800000,2012-07-01
LawGeex,analytics|artificial intelligence|big data|legal|machine learning|saas,9500000,operating,ISR,,Tel Aviv,3,2015-02-24 02:50:03,2015-10-01,2017-03-07
Quidd,Quidd is a platform for collecting one-of-a-kind digital goods.,1," #908""",USA,NY,Brooklyn,apps|commerce and shopping|mobile|software,2016-09-16 16:27:05.070595,2015-05-20,2017-03-07
Radiaction,manufacturing|medical|medical device,5700000,operating,ISR,,Tel Aviv,1,2017-01-25 09:42:34.537138,2017-03-07,2017-03-07
Thefloow,automotive|fleet management|information technology,16600000,operating,GBR,,Sheffield,2,2015-08-28 10:26:15,2014-07-09,2017-03-07
Tylko,e-commerce|furniture|mobile,3179380.65664809,operating,,,,1,2015-03-30 18:27:40,2017-03-07,2017-03-07
Wrapify," manage and scale ad campaigns on vehicles all over the country.""",4,operating,USA,CA,San Francisco,advertising|sales and marketing,2015-05-08 08:41:48,2015-02-01,2015-01-01
Conversion Logic,Machine learning + cloud analytics for Enterprise B2C Marketers - the most intuitive cross-channel measurement and attribution platform.,3," Suite 200""",USA,CA,Los Angeles,data and analytics|software,2014-08-14 21:27:52,2014-01-01,2014-08-14
Currencycloud," driving the transformation of the global payments landscape. The co""",5,operating,GBR,,London,financial services|payments|professional services|software,2012-03-14 13:48:26,2012-01-01,2012-03-13
Dream Payments,Dream Payments enables merchants to sell everywhere using mobile devices.,3," Unit 253""",CAN,ON,Toronto,financial services|mobile|payments|software,2015-03-27 04:14:03,2014-01-01,2015-03-26
Easemob Technologies, NO.2 Zhongguancun Nandajie,"""EaseMob is a PaaS-based platform that allows developers to integrate instant messaging", Tower A,CHN,,Beijing,operating,2015-07-29 11:40:12," and data services to their apps.""",customer service|messaging|mobile apps
Fluxx,Fluxx’s cloud-based platforms empower the philanthropic ecosystem with efficient workflow management and access to strategic insights.,2," First Floor""",USA,CA,San Francisco,data and analytics|financial services|information technology|lending and investments|sales and marketing|software,2011-06-23 21:20:41,2011-01-01,2015-08-26
Goldbely,e-commerce|food and beverage|online portals,13000000,operating,USA,CA,San Francisco,3,2012-08-11 02:35:42,2013-09-17,2017-03-08
Identify3D, quality assurance,media and entertainment|privacy and security|professional services,operating,USA,CA,San Francisco,digital media|intellectual property|security,2015-06-19 12:58:30,699971,2014-01-01
ID.me,ID.me is a digital identity network that empowers relying parties to grant access or benefits based on verified identity and attributes.,11,8281 Greensboro Dr. Suite 600,USA,VA," D.C.""",commerce and shopping|information technology|internet services|privacy and security,2013-03-18 18:23:47,2010-01-01,2010-07-16
Khorus,product design|saas|software,6600000,operating,USA,TX,Austin,2,2014-08-18 19:24:19,2015-04-13,2017-03-08
Kinsa,Kinsa is creating the world's first real-time map of human health.,4," 18th Fl""",USA,CA,San Francisco,health care|mobile|sports,2013-04-11 08:16:25,2012-03-27,2012-08-14
Magicbricks,commercial real estate|online portals|real estate,4502032.10474128,operating,IND,,Noida,1,2014-12-01 13:27:45,2017-03-08,2017-03-08
Odilo, school,ebooks|information technology|software,operating,USA,NY,New York," corporation or municipality to offer all kinds of digital content to their users.""",2014-09-18 08:23:03,3,10576662.6786219
ScyllaDB,enterprise software|information services|information technology,23000000,operating,ISR,,Herzliya,3,2016-02-04 20:43:27.287824,2013-09-16,2017-03-08
Veem,Veem (formerly Align Commerce) is a next generation payment service provider (PSP) for global commerce.,5," Suite 500""",USA,CA,San Francisco,financial services|information technology|payments|software,2014-08-18 14:03:44,2014-02-01,2014-07-01
Virta,apps|health care|medical,37000000,operating,USA,CA,San Francisco,1,2017-01-17 01:15:28.824312,2017-03-08,2017-03-08
Airbnb, discover,commerce and shopping|travel and tourism,operating,USA,CA,San Francisco,hospitality|marketplace|sharing economy|travel|travel accommodations,2008-07-31 11:41:35,4398082100,2008-08-01
Alternate Health,health care,5572327.57361045,ipo,CAN,ON,Toronto,1,2017-03-09 06:35:39.854711,2017-03-09,2017-03-09
Astro Technology," powered by artificial intelligence.""",1,operating,USA,CA,Palo Alto,apps|information technology|internet services|messaging and telecommunications|mobile|software,2016-10-11 14:58:53.363447,2015-01-01,2017-03-09
Chairish,Chairish is an online marketplace where design lovers buy and sell vintage and used furniture and decor to one another,3," 2nd Floor""",USA,CA,San Francisco,consumer goods|internet services,2013-03-01 13:05:35,2013-01-01,2013-07-18
Chowbotics,Chowbotics uses robots to solve several problems in food service including compromised cleanliness and inefficiency.,2," Suite 1107""",USA,CA,San Jose,food and beverage|travel and tourism,2016-02-05 07:03:54.107757,2014-08-23,2016-02-19
cloud.IQ,apps|e-commerce|retail technology|saas|software,13225492.7863766,operating,GBR,,London,3,2013-02-06 18:46:37,2012-02-01,2017-03-09
Cradlepoint, places,hardware|information technology|internet services|mobile|software,operating,USA,ID,Boise,cloud management|network hardware|wireless,2009-07-10 13:46:58,162128255,2006-01-01
Crealytics,advertising|e-commerce|search engine|software,9300000,operating,DEU,,Passau,5,2010-01-26 14:20:19,2010-01-25,2017-03-09
DraftKings,"""DraftKings is a skill-based daily fantasy sports platform that allows fans to compete in single-day",gaming|sports," 26th Floor""",USA,MA,Boston,fantasy sports|online games|sports,2012-06-28 13:46:54,696400000,2011-01-01
Endor,big data|machine learning|predictive analytics,5000000,operating,ISR,,Tel Aviv,1,2015-04-02 04:39:25,2017-03-09,2017-03-09
Fuyoukache,,36193155.6329821,operating,CHN,,Beijing,1,2017-03-10 06:28:11.724058,2017-03-09,2017-03-09
Kiddom,operating,education|software,,USA,CA,San Francisco,edtech|education|e-learning,2015-07-16 06:09:12,6500000,2012-01-01
Kidizen,collaborative consumption|mobile|parenting,5050000,operating,USA,MN,Minneapolis,8,2010-06-29 22:39:41,2010-11-13,2017-03-09
mycs,furniture,10562450.4885133,operating,DEU,,Berlin,1,2017-03-09 13:03:39.305458,2017-03-09,2017-03-09
PayQix, Marketing,,operating,,,,,2016-05-06 19:54:16.974081,11000000,2013-01-01
Prevedere,big data|predictive analytics|saas|software,19551530,operating,USA,CA,Sunnyvale,4,2012-10-09 00:18:58,2012-02-28,2017-03-09
RiskSense," networks and applications then correlate .""",2,operating,USA,NM,Albuquerque,information technology|privacy and security,2016-05-26 08:44:02.689896,2015-01-01,2016-08-02
Small Giant Games," Finland. We are currently hard at work on our first title for the iOS""",3,operating,FIN,,Helsinki,gaming|mobile,2013-11-15 18:03:06,2013-01-01,2013-10-18
TurnKey Vacation Rentals,TurnKey Vacation Rental Management is a technology-enabled vacation rental management company in over 25 markets nationwide.,5," Suite 350""",USA,TX,Austin,community and lifestyle|travel and tourism,2013-08-09 23:05:12,2012-10-01,2013-08-13
Viva Republica,operating,financial services|payments|software, Gangnam-daero 112-gil,KOR,,Seoul,fintech|software|transaction processing,2014-03-27 17:52:31,77200000,2013-08-02
